YEAR,CLUSTER,X,Y
2024,62,-17.029995,-23.307474
2004,40,34.42012,-0.99087054
2004,12,90.938705,-16.600689
2004,20,-14.643638,-50.963436
2004,66,-1.6047032,57.350643
2008,55,43.02002,-37.51873
2008,61,26.766214,-32.90776
2008,20,-0.43159753,-39.201492
2008,12,77.590385,-13.686963
2008,63,54.67478,-62.264385
2016,57,51.057922,-11.197186
2016,20,-2.91374,-50.025375
2016,57,16.47555,1.0477481
2016,54,24.901714,47.74819
2016,54,24.93786,47.707016
2016,21,-47.366367,4.6988196
2016,12,64.74571,-29.729408
2016,30,-37.765503,-82.82445
2014,0,41.958084,69.04893
2014,7,39.45453,4.424764
2014,7,4.8661895,-11.081487
2014,16,31.394047,-71.27799
2014,11,4.5937147,-11.496389
2014,12,70.62255,-29.289047
2014,10,-59.986763,-18.109638
2014,41,-41.869846,69.26729
2014,7,7.222526,-8.940129
2014,4,-24.096554,65.68421
2014,1,-9.7312155,75.88223
2014,2,-21.98928,-78.35365
2010,23,25.49343,10.588238
2024,0,50.583668,55.781647
2024,25,39.620583,-2.4614112
2024,12,92.05929,-0.70314515
2024,20,7.2208805,-40.538933
2024,2,-32.57823,-85.55115
2024,10,-67.557014,-5.607551
2024,1,-25.582184,79.83132
2007,31,-9.9093,28.493269
2007,3,-42.301704,58.576893
2011,15,5.2341576,-8.29188
2011,15,6.858774,-12.823528
2011,15,5.370822,-10.339041
2011,12,94.480125,-22.937693
2011,77,-12.129043,-78.54499
2011,36,-57.785294,-23.222235
2011,66,-1.7089473,55.75425
2011,4,-30.840876,60.600475
2011,15,8.000816,-12.287256
2011,10,-52.18927,-13.345638
2018,0,46.156975,74.142944
2018,56,22.494955,37.139732
2018,56,21.476738,37.0553
2018,81,-33.27444,-35.18462
2011,52,56.257286,2.8082957
2011,40,37.458107,-21.521072
2011,1,-16.03364,75.13359
2011,12,82.32023,-13.38298
2011,10,-67.613235,-4.7892537
2011,20,-13.946216,-45.541897
2011,62,-19.01755,-16.461668
2011,2,-24.813162,-74.443405
2011,45,38.384968,-73.61178
2011,44,30.463898,46.02712
2020,0,35.61744,74.10579
2020,19,40.239803,-45.04301
2020,20,-7.913382,-46.03015
2020,55,44.268257,-59.786476
2020,63,56.347225,-61.02366
2020,10,-62.14849,-13.805299
2007,4,-34.250557,65.453316
2007,82,90.453636,42.42871
2007,50,9.907542,82.868095
2007,3,-40.81891,56.11927
2007,38,-1.2752585,-82.29459
2007,82,-18.075943,-98.5228
2022,39,53.37243,10.5098715
2022,10,-65.3794,-13.943637
2022,75,-67.407,-0.13070281
2022,74,92.04759,-34.994823
2013,43,51.551826,26.662737
2013,55,34.6462,-35.48121
2013,20,-7.9962573,-50.067577
2013,63,56.90847,-63.04749
2013,12,77.22267,-44.440765
2013,19,34.64763,-44.48177
2013,0,69.31459,45.493305
2013,19,31.02898,-44.05189
2013,29,-51.456387,-57.200523
2013,55,32.304615,-34.070908
2023,0,59.93288,60.972546
2023,7,30.848217,-5.8681393
2023,15,30.751253,-5.6890306
2023,83,25.898247,-22.969389
2023,14,11.5456295,-15.936815
2023,12,77.66154,-36.285057
2023,4,-31.502645,75.231606
2023,1,-22.715258,85.56967
2023,10,-55.87282,-17.18122
2023,34,-57.728878,-55.85456
2023,47,-35.035072,-50.694683
2023,59,-73.906815,-43.024685
2023,35,-92.79609,-6.1722465
2023,64,-94.773766,-22.698423
2023,64,-90.78288,-16.262604
2023,10,-91.624245,22.063684
2023,10,-90.36993,31.48179
2023,10,-90.31149,31.794416
2023,38,-12.774058,-80.2347
2013,0,67.75138,53.987865
2013,39,51.24006,5.812114
2013,23,13.423369,4.69184
2013,10,-65.047966,-17.553818
2013,37,-57.251858,39.952553
2013,12,79.48304,-36.853855
2013,62,-25.21289,-14.800353
2013,45,42.03283,-80.66406
2013,20,6.9561067,-49.0581
2013,1,3.937123,95.35696
2013,2,-15.292279,-79.07472
2018,1,-0.5622061,101.98161
2018,0,47.61006,85.02599
2018,14,66.40962,-1.8341452
2018,14,9.035733,-19.006329
2018,14,10.023029,-18.980316
2018,15,8.703069,-14.801452
2018,12,84.43501,-45.31613
2018,36,-55.250443,-26.484768
2018,2,-22.619247,-76.40937
2018,1,-5.9364963,70.77435
2018,0,60.30948,73.65153
2018,25,38.634514,-11.959624
2018,8,3.9917839,-1.3909787
2018,20,6.8194156,-56.028217
2018,21,-52.097744,11.66675
